Datetime,Trial,Wig,Thermocouple,temp,Radiation,WindSpeed
2018-10-23T16:15:46Z,1,Nude,1,25.9,Off,2.5
2018-10-23T16:15:46Z,1,Nude,2,28.3,Off,2.5
2018-10-23T16:15:46Z,1,Nude,3,28.8,Off,2.5
2018-10-23T16:15:46Z,1,Nude,4,30.3,Off,2.5
2018-10-23T16:16:16Z,1,Nude,1,25.7,Off,2.5
2018-10-23T16:16:16Z,1,Nude,2,28.6,Off,2.5
2018-10-23T16:16:16Z,1,Nude,3,28.7,Off,2.5
2018-10-23T16:16:16Z,1,Nude,4,30.4,Off,2.5
2018-10-23T16:16:46Z,1,Nude,1,25.7,Off,2.5
2018-10-23T16:16:46Z,1,Nude,2,28.3,Off,2.5
2018-10-23T16:16:46Z,1,Nude,3,28.9,Off,2.5
2018-10-23T16:16:46Z,1,Nude,4,30.3,Off,2.5
2018-10-23T17:00:46Z,1,Nude,1,28.4,Off,1
2018-10-23T17:00:46Z,1,Nude,2,30.3,Off,1
2018-10-23T17:00:46Z,1,Nude,3,31.4,Off,1
2018-10-23T17:00:46Z,1,Nude,4,30.3,Off,1
2018-10-23T17:01:16Z,1,Nude,1,28,Off,1
2018-10-23T17:01:16Z,1,Nude,2,30.5,Off,1
2018-10-23T17:01:16Z,1,Nude,3,31.4,Off,1
2018-10-23T17:01:16Z,1,Nude,4,30.3,Off,1
2018-10-23T17:01:46Z,1,Nude,1,28.3,Off,1
2018-10-23T17:01:46Z,1,Nude,2,30.6,Off,1
2018-10-23T17:01:46Z,1,Nude,3,31.2,Off,1
2018-10-23T17:01:46Z,1,Nude,4,30.1,Off,1
2018-10-23T17:02:16Z,1,Nude,1,28.6,Off,1
2018-10-23T17:02:16Z,1,Nude,2,30.4,Off,1
2018-10-23T17:02:16Z,1,Nude,3,31.5,Off,1
2018-10-23T17:02:16Z,1,Nude,4,30.4,Off,1
2018-10-23T17:02:46Z,1,Nude,1,28.5,Off,1
2018-10-23T17:02:46Z,1,Nude,2,30.3,Off,1
2018-10-23T17:02:46Z,1,Nude,3,31.5,Off,1
2018-10-23T17:02:46Z,1,Nude,4,30.5,Off,1
2018-10-23T17:03:16Z,1,Nude,1,28.4,Off,1
2018-10-23T17:03:16Z,1,Nude,2,30.4,Off,1
2018-10-23T17:03:16Z,1,Nude,3,31.6,Off,1
2018-10-23T17:03:16Z,1,Nude,4,30.3,Off,1
2018-10-23T17:03:46Z,1,Nude,1,28.3,Off,1
2018-10-23T17:03:46Z,1,Nude,2,30.3,Off,1
2018-10-23T17:03:46Z,1,Nude,3,31.4,Off,1
2018-10-23T17:03:46Z,1,Nude,4,30.3,Off,1
2018-10-23T17:04:16Z,1,Nude,1,28.4,Off,1
2018-10-23T17:04:16Z,1,Nude,2,30.3,Off,1
2018-10-23T17:04:16Z,1,Nude,3,31.3,Off,1
2018-10-23T17:04:16Z,1,Nude,4,30.5,Off,1
2018-10-23T17:04:46Z,1,Nude,1,28.5,Off,1
2018-10-23T17:04:46Z,1,Nude,2,30.5,Off,1
2018-10-23T17:04:46Z,1,Nude,3,31.6,Off,1
2018-10-23T17:04:46Z,1,Nude,4,30.3,Off,1
